,Marker_Name,Count,Category
0,Abolition & Underground RR ,1035,Non-War
1,African Americans ,6356,Non-War
2,Agriculture ,3696,Non-War
3,Air & Space ,2378,Non-War
4,Animals ,1924,Non-War
5,Anthropology & Archaeology ,1027,Non-War
6,Architecture ,4268,Non-War
7,"Arts, Letters, Music ",5542,Non-War
8,Asian Americans ,345,Non-War
9,Bridges & Viaducts ,1899,Non-War
10,Cemeteries & Burial Sites ,6782,Non-War
11,Charity & Public Work ,3768,Non-War
12,Churches & Religion ,"11,899",Non-War
13,Civil Rights ,1929,Non-War
14,Colonial Era ,8344,Non-War
15,Communications ,2180,Non-War
16,Disasters ,1852,Non-War
17,Education ,8934,Non-War
18,Entertainment ,3380,Non-War
19,Environment ,2475,Non-War
20,Exploration ,2809,Non-War
21,Forts or Castles ,4611,Non-War
22,Fraternal or Sororal Organizations ,1926,Non-War
23,Government & Politics ,5669,Non-War
24,Heroes ,856,Non-War
25,Hispanic Americans ,567,Non-War
26,Horticulture & Forestry ,1836,Non-War
27,Industry & Commerce ,"18,521",Non-War
28,Labor Unions ,374,Non-War
29,Landmarks ,1233,Non-War
30,Law Enforcement ,603,Non-War
31,Man-Made Features ,6977,Non-War
32,Military ,4229,Non-War
33,Native Americans ,7516,Non-War
34,Natural Features ,1335,Non-War
35,Natural Resources ,991,Non-War
36,Notable Buildings ,"10,719",Non-War
37,Notable Events ,2399,Non-War
38,Notable Places ,3819,Non-War
39,Paleontology ,175,Non-War
40,Parks & Recreational Areas ,2807,Non-War
41,Patriots & Patriotism ,5832,Non-War
42,Peace ,476,Non-War
43,Political Subdivisions ,1136,Non-War
44,Railroads & Streetcars ,5251,Non-War
45,Roads & Vehicles ,5995,Non-War
46,Science & Medicine ,3158,Non-War
47,Settlements & Settlers ,"22,750",Non-War
48,Sports ,2378,Non-War
49,War of 1812 ,2044,War
50,"War, 1st Iraq & Desert Storm ",380,War
51,"War, 2nd Iraq ",306,War
52,"War, Afghanistan ",286,War
53,"War, Cold ",578,War
54,"War, French and Indian ",830,War
55,"War, Korean ",1819,War
56,"War, Mexican-American ",542,War
57,"War, Spanish-American ",648,War
58,"War, Texas Independence ",472,War
59,"War, US Civil ","19,194",War
60,"War, US Revolutionary ",6752,War
61,"War, Vietnam ",2252,War
62,"War, World I ",3407,War
63,"War, World II ",6003,War
64,"Wars, Non-US ",923,War
65,"Wars, US Indian ",2097,War
66,Waterways & Vessels ,8666,Non-War
67,Women ,3370,Non-War
