,Marker Name,Count
0,Abolition & Underground RR ,1034
1,African Americans ,6344
2,Agriculture ,3684
3,Air & Space ,2375
4,Animals ,1911
5,Anthropology & Archaeology ,1022
6,Architecture ,4226
7,"Arts, Letters, Music ",5528
8,Asian Americans ,344
9,Bridges & Viaducts ,1892
10,Cemeteries & Burial Sites ,6773
11,Charity & Public Work ,3758
12,Churches & Religion ,"11,873"
13,Civil Rights ,1928
14,Colonial Era ,8329
15,Communications ,2173
16,Disasters ,1847
17,Education ,8903
18,Entertainment ,3376
19,Environment ,2481
20,Exploration ,2808
21,Forts or Castles ,4605
22,Fraternal or Sororal Organizations ,1930
23,Government & Politics ,5651
24,Heroes ,854
25,Hispanic Americans ,564
26,Horticulture & Forestry ,1828
27,Industry & Commerce ,"18,467"
28,Labor Unions ,373
29,Landmarks ,1235
30,Law Enforcement ,596
31,Man-Made Features ,7069
32,Military ,4215
33,Native Americans ,7506
34,Natural Features ,1334
35,Natural Resources ,987
36,Notable Buildings ,"10,735"
37,Notable Events ,2380
38,Notable Places ,3821
39,Paleontology ,175
40,Parks & Recreational Areas ,2791
41,Patriots & Patriotism ,5862
42,Peace ,475
43,Political Subdivisions ,1135
44,Railroads & Streetcars ,5232
45,Roads & Vehicles ,5978
46,Science & Medicine ,3144
47,Settlements & Settlers ,"22,706"
48,Sports ,2374
49,War of 1812 ,2040
50,"War, 1st Iraq & Desert Storm ",379
51,"War, 2nd Iraq ",304
52,"War, Afghanistan ",283
53,"War, Cold ",574
54,"War, French and Indian ",829
55,"War, Korean ",1817
56,"War, Mexican-American ",541
57,"War, Spanish-American ",648
58,"War, Texas Independence ",470
59,"War, US Civil ","19,175"
60,"War, US Revolutionary ",6745
61,"War, Vietnam ",2248
62,"War, World I ",3404
63,"War, World II ",5994
64,"Wars, Non-US ",922
65,"Wars, US Indian ",2092
66,Waterways & Vessels ,8656
67,Women ,3343
