,Unique ID,feature_name,Honorees,City,County,State,Side,Symbol Type,Symbol Category,Sponsors,Year Dedicated,Year Removed,Tracking Status,Latitude,Longitude
1091,1921.0,Robert E. Lee School,Robert E. Lee,Little Rock,Pulaski,AR,South,School,Schools,Uknown,1906.0,2005.0,Live,34.740093,-92.316235
1729,781.0,Silent Sam Confederate Soldiers Monument,No specific honoree,Chapel Hill,"Durham‎, ‎Orange",NC,South,Monument,Monument,United Daughters of the Confederacy,1913.0,2018.0,Relocated,35.913617,-79.052117
1730,60.0,Admiral Raphael Semmes Statue,Raphael Semmes,Mobile,Mobile,AL,South,Monument,Monument,Uknown,1900.0,2020.0,Relocated,30.690331,-88.039952
1731,218.0,Johnny Reb Monument,No specific honoree,Ocala,Marion,FL,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1908.0,2017.0,Relocated,29.188198,-82.139383
1732,207.0,Confederate Memorial,No specific honoree,Orlando,Orange,FL,South,Monument,Monument,United Daughters of the Confederacy,1911.0,2017.0,Relocated,28.544225,-81.373122
1733,204.0,Confederate Monument,No specific honoree,Lakeland,Polk,FL,South,Monument,Monument,United Daughters of the Confederacy,1910.0,2019.0,Relocated,28.044617,-81.955600
1734,2088.0,Terminus of the Stonewall Jackson Memorial Highway Marker,"Thomas Jonathan ""Stonewall"" Jackson",St. Petersburg,Pinellas,FL,South,Monument,Monument,United Daughters of the Confederacy,1939.0,2017.0,Removed,27.771250,-82.632117
1735,1864.0,DeKalb County Confederate Monument,No specific honoree,Decatur,DeKalb,GA,South,Monument,Monument,United Daughters of the Confederacy; United Confederate Veterans,1908.0,2020.0,Removed,33.774852,-84.296488
1736,1820.0,Inscription honoring Confederacy at UT Austin,No specific honoree,Austin,Travis,TX,South,Monument,Monument,George Littlefield,1933.0,2016.0,Removed,30.283837,-97.739591
1738,1821.0,Jefferson Davis Statue,Jefferson Davis,Austin,Travis,TX,South,Monument,Monument,George Littlefield,1926.0,2015.0,Removed,30.285117,-97.739717
1739,1193.0,Confederate Monument,No specific honoree,Denton,Denton,TX,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1918.0,2020.0,Removed,33.214633,-97.133050
1740,5010.0,Jefferson Davis Highway Marker,Jefferson Davis,Vancouver,Clark,WA,Not Applicable,Monument,Monument,United Daughters of the Confederacy,1939.0,1998.0,Removed,45.653530,-122.666476
1741,1406.0,Williams Carter Wickham Monument,Williams Carter Wickham,Richmond,Richmond City,VA,South,Monument,Monument,Uknown,1891.0,2020.0,Removed,37.547212,-77.450941
