,Unique ID,feature_name,Honorees,City,County,State,Side,Symbol Type,Symbol Category,Sponsors,Year Dedicated,Year Removed,Tracking Status,Latitude,Longitude
0,223,Confederate Oak,No specific honoree,Port Orange,Volusia,FL,South,Other,Parks/Trails,Uknown,,,Live,29.141516,-81.006682
1,220,Confederate Monument,No specific honoree,Quincy,Gadsden,FL,South,Monument,Courthouse Grounds,Memorial Association of Gadsden County,1884.0,,Live,30.588833,-84.576433
2,210,Confederate Monument,No specific honoree,St. Augustine,St. Johns,FL,South,Monument,Monument,Ladies Memorial Association,1872.0,,Live,29.892467,-81.312033
3,1983,Gen. William Loring Monument,William Loring,St. Augustine,St. Johns,FL,South,Monument,Monument,United Daughters of the Confederacy,1920.0,,Live,29.892417,-81.313817
4,187,Robert Lee Road,Robert E. Lee,St. Cloud,Osceola,FL,South,Highway / Roadway,Roads,Uknown,,,Live,28.194564,-81.173562
5,2104,Stonewall Jackson Memorial Highway Marker,"Thomas Jonathan ""Stonewall"" Jackson",St. Petersburg,Pinellas,FL,South,Marker,Monument,United Daughters of the Confederacy,1940.0,,Live,30.411733,-83.911133
6,180,Bradford County,Richard Bradford,Starke,Bradford,FL,South,County/Municipality,County/Municipality,Uknown,1861.0,,Live,29.961379,-82.150070
7,2139,A.H. Stephens State Park,Alexander Stephens,Crawfordville,Taliaferro,GA,South,Park,Parks/Trails,Uknown,,,Live,33.557817,-82.895317
8,369,Confederate Monument,No specific honoree,Crawfordville,Taliaferro,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1898.0,,Live,33.554467,-82.896633
9,2070,Jefferson Davis Highway Marker,Jefferson Davis,Crawfordville,Taliaferro,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,,,Live,33.554283,-82.896333
10,370,Confederate Veterans Monument,No specific honoree,Cusseta,Chattahoochee,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,,,Live,32.306117,-84.776667
11,327,Randolph County Confederate Monument,No specific honoree,Cuthbert,Randolph,GA,South,Monument,Monument,United Daughters of the Confederacy,1910.0,,Live,31.771330,-84.789311
12,291,Confederate Avenue,No specific honoree,Dallas,Paulding,GA,South,Highway / Roadway,Roads,Uknown,,,Live,33.927032,-84.842543
13,2223,The War Between the States Sesquicentennial Monument,No specific honoree,Dallas,Paulding,GA,South,Monument,Monument,Sons of Confederate Veterans,2012.0,,Live,33.921083,-84.839367
14,1862,Joseph E. Johnston Statue,Joseph Eggleston Johnston,Dalton,Whitfield,GA,South,Monument,Monument,United Daughters of the Confederacy,1912.0,,Live,34.771523,-84.968101
15,2061,Confederate Gun Shop Monument,No specific honoree,Dawson,Terrell,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy; Works Progress Administration,1936.0,,Live,31.773333,-84.445550
16,386,Confederate Monument,No specific honoree,Monroe,Walton,GA,South,Monument,Courthouse Grounds,surviving Confederate veterans; Ladies Memorial Association,1907.0,,Live,33.794634,-83.712844
17,347,Macon County Confederate Monument,No specific honoree,Montezuma,Macon,GA,South,Monument,Monument,United Daughters of the Confederacy,1911.0,,Live,32.305810,-84.027518
18,348,Jasper County Confederate Monument,No specific honoree,Monticello,Jasper,GA,South,Monument,Monument,Uknown,1910.0,,Live,33.304413,-83.684084
19,387,Colquitt County Confederate Monument,No specific honoree,Moultrie,Colquitt,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1909.0,,Live,31.179116,-83.788609
20,388,Confederate Monument,No specific honoree,Mount Vernon,Montgomery,GA,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,1997.0,,Live,32.174190,-82.594663
21,2173,Coweta County Georgia Monument,No specific honoree,Newnan,Coweta,GA,South,Monument,Courthouse Grounds,Ladies Memorial Association,1885.0,,Live,33.374780,-84.799748
22,251,General Lee Drive,Robert E. Lee,Newnan,Coweta,GA,South,Highway / Roadway,Roads,Uknown,,,Live,33.415197,-84.708576
23,250,Jeb Stuart Drive,"James Ewell Brown ""Jeb"" Stuart",Newnan,Coweta,GA,South,Highway / Roadway,Roads,Uknown,,,Live,33.412285,-84.710789
24,389,William Thomas Overby Confederate Hero Monument,William Thomas Overby,Newnan,Coweta,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1956.0,,Live,33.374835,-84.800293
25,2049,Jefferson Davis Highway Marker,Jefferson Davis,Norwood,Warren,GA,South,Monument,Monument,United Daughters of the Confederacy,,,Live,33.462156,-82.706961
26,930,Robert E Lee Street,Robert E. Lee,Orangeburg,Orangeburg,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.477341,-80.858777
27,934,Stonewall Jackson Boulevard,"Thomas Jonathan ""Stonewall"" Jackson",Orangeburg,Orangeburg,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.469807,-80.857892
28,933,Stonewall Jackson Street Southwest,"Thomas Jonathan ""Stonewall"" Jackson",Orangeburg,Orangeburg,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.479783,-80.867005
29,1952,Robert E. Lee Monument,Robert E. Lee,Pickens,Pickens,SC,South,Monument,Courthouse Grounds,Uknown,,,Live,34.883333,-82.706950
30,974,Confederate Veterans Monument,No specific honoree,Prosperity,Newberry,SC,South,Monument,Monument,United Daughters of the Confederacy,1928.0,,Live,34.209350,-81.533217
31,1967,Confederate Park,No specific honoree,Rock Hill,York,SC,South,Park,Parks/Trails,Uknown,,,Live,34.926745,-81.017042
32,975,Ebenezer Confederate Monument,No specific honoree,Rock Hill,York,SC,South,Monument,Monument,United Daughters of the Confederacy,1908.0,,Live,34.965900,-81.051900
33,3105,Jackson Street,"Thomas Jonathan ""Stonewall"" Jackson",Rock Hill,York,SC,South,Highway / Roadway,Roads,Uknown,,,Live,34.927620,-81.016417
34,3106,North Confederate Avenue,No specific honoree,Rock Hill,York,SC,South,Highway / Roadway,Roads,Uknown,,,Live,34.927692,-81.018415
35,1162,Cleburne Mural,Patrick Cleburne,Cleburne,Johnson,TX,South,Other,Parks/Trails,Howard Dudley,2009.0,,Live,32.345667,-97.385817
36,1190,Confederate Monument,No specific honoree,Cleburne,Johnson,TX,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1917.0,,Live,32.347083,-97.385967
37,1095,Johnson County,Middleton T. Johnson,Cleburne,Johnson,TX,South,County/Municipality,County/Municipality,Uknown,1867.0,,Live,32.344706,-97.389435
38,1189,Patrick Cleburne monument,Patrick Cleburne,Cleburne,Johnson,TX,South,Monument,Courthouse Grounds,Buffalo Creek Association,2015.0,,Live,32.346076,-97.389195
39,1122,Beauregard Drive,Pierre Gustave Toutant-Beauregard,Conroe,Montgomery,TX,South,Highway / Roadway,Roads,Uknown,,,Live,30.260793,-95.445002
40,1120,Jubal Early Lane,Jubal Anderson Early,Conroe,Montgomery,TX,South,Highway / Roadway,Roads,Uknown,,,Live,30.260218,-95.438148
41,1121,Stonewall Jackson Drive,"Thomas Jonathan ""Stonewall"" Jackson",Conroe,Montgomery,TX,South,Highway / Roadway,Roads,Uknown,,,Live,30.259143,-95.440530
42,1191,Call to Arms Monument,No specific honoree,Corsicana,Navarro,TX,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1909.0,,Live,32.094917,-96.468683
43,1096,Foard County,Robert L. Foard,Crowell,Foard,TX,South,County/Municipality,County/Municipality,Uknown,1891.0,,Live,33.983421,-99.724466
44,1192,General Augustus C. Buchel Monument,Augustus C. Buchel,Cuero,DeWitt,TX,South,Monument,Courthouse Grounds,Dewitt County,1963.0,,Live,29.092157,-97.288932
45,1860,W.H. Gaston Middle School,W.H. Gaston,Dallas,Dallas,TX,South,School,Schools,Uknown,1954.0,,Live,32.825458,-96.693365
46,1302,General Jackson Avenue,"Thomas Jonathan ""Stonewall"" Jackson",Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.500244,-78.037918
47,1304,General Jeb Stuart Lane,"James Ewell Brown ""Jeb"" Stuart",Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.502015,-78.033841
48,1301,General Lee Avenue,Robert E. Lee,Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.497533,-78.037352
49,3148,General Longstreet Avenue,James Longstreet,Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.500458,-78.037232
50,1306,General Winder Road,John Henry Winder,Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.397732,-78.080158
51,3149,Jackson Street,"Thomas Jonathan ""Stonewall"" Jackson",Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.487746,-77.989892
52,1476,Stonewall Jackson Middle School,"Thomas Jonathan ""Stonewall"" Jackson",Manassas,Manassas City,VA,South,School,Schools,Uknown,1962.0,,Live,38.784814,-77.501075
53,1465,Stonewall Jackson Volunteer Fire & Rescue Department,"Thomas Jonathan ""Stonewall"" Jackson",Manassas,Manassas City,VA,South,Other,Buildings,Uknown,1969.0,,Live,38.786635,-77.508110
54,1934,Stonewall Road,"Thomas Jonathan ""Stonewall"" Jackson",Manassas,Manassas City,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.763032,-77.482102
55,1444,Confederate Monument,No specific honoree,Marion,Smyth,VA,South,Monument,Courthouse Grounds,Uknown,1904.0,,Live,36.832989,-81.519887
56,3166,Jeb Stuart Court,"James Ewell Brown ""Jeb"" Stuart",Martinsville,Henry,VA,South,Highway / Roadway,Roads,Uknown,,,Live,36.681609,-79.807713
57,1279,Jeb Stuart Road,"James Ewell Brown ""Jeb"" Stuart",Martinsville,Henry,VA,South,Highway / Roadway,Roads,Uknown,,,Live,36.681667,-79.809556
58,1278,Jefferson Davis Drive,Jefferson Davis,Martinsville,Henry,VA,South,Highway / Roadway,Roads,Uknown,,,Live,36.669319,-79.799754
59,1445,Our Confederate Soldier,No specific honoree,Mathews,Mathews,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1912.0,,Live,37.433700,-76.321700
60,1479,Stonewall Jackson Middle School,"Thomas Jonathan ""Stonewall"" Jackson",Mechanicsville,Hanover,VA,South,School,Schools,Uknown,1969.0,,Live,37.617775,-77.340833
61,3165,Stonewall Middle Drive,"Thomas Jonathan ""Stonewall"" Jackson",Mechanicsville,Hanover,VA,South,Highway / Roadway,Roads,Uknown,,,Live,37.619252,-77.341857
