Title,City or Town,County or Parish,Street Address,Year Erected,Erected By,Link
Burke Station,Burke,Fairfax County,9415 Old Burke Lake Rd,1986,Department of Conservation and Historic Resources,http://www.hmdb.org/m.asp?m=12
The Orange And Alexandria Railroad Trestle,Springfield,Fairfax County,,2003,Fairfax County History Commission,http://www.hmdb.org/m.asp?m=38
Ravensworth,Springfield,Fairfax County,,1992,Department of Historic Resources,http://www.hmdb.org/m.asp?m=40
Historic Alexandria,Historical District,Alexandria,221 King Street,1997,Department of Historic Resources,http://www.hmdb.org/m.asp?m=47
Rockville,Rockville,Montgomery County,,,Maryland Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=59
Court House Square,Rockville,Montgomery County,29 Courthouse Square,,,http://www.hmdb.org/m.asp?m=65
Gettysburg Campaign,Rockville,Montgomery County,,,,http://www.hmdb.org/m.asp?m=73
Christ Episcopal Church,Rockville,Montgomery County,109 South Washington Street,,,http://www.hmdb.org/m.asp?m=91
Clara H. Barton,Fairfax Station,Fairfax County,,1961,Fairfax County Chapter. American National Red Cross,http://www.hmdb.org/m.asp?m=102
Battle of Chantilly,Fairfax,Fairfax County,12170 Fairfax Towne Center,,Developers Diversified Realty Macquarie DDR Trust Fairfax Town Center LLC,http://www.hmdb.org/m.asp?m=110
Maryland (Antietam / Sharpsburg) Campaign,Fairfax,Fairfax County,,2000,Department of Historic Resources,http://www.hmdb.org/m.asp?m=111
Town of Occoquan,Occoquan,Prince William County,,1989,Prince William County Historical Commission,http://www.hmdb.org/m.asp?m=114
Battle of Ox Hill,Fairfax,Fairfax County,4134 West Ox Road,2000,Department of Historic Resources,http://www.hmdb.org/m.asp?m=115
The Battle of Ox Hill,Fairfax,Fairfax County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=116
Fort Bayard,American University Park,Washington,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=124
Springfield Station,Springfield,Fairfax County,,1999,Fairfax County History Commission,http://www.hmdb.org/m.asp?m=156
Alexandria,Old Town,Alexandria,110 Callahan Drive,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=159
Rose Hill,Franconia,Fairfax County,6209 Rose Hill Drive,2000,Fairfax County History Commission,http://www.hmdb.org/m.asp?m=160
Birthplace of Fitzhugh Lee,Franconia,Fairfax County,4700 Franconia Rd,2004,Department of Historic Resources,http://www.hmdb.org/m.asp?m=161
Benvenue,McLean,Fairfax County,6800 Churchill Road,2001,Fairfax County History Commission,http://www.hmdb.org/m.asp?m=178
Lincoln Reviews Troops at Bailey s Crossroads,Falls Church,Fairfax County,,1992,Department of Historic Resources,http://www.hmdb.org/m.asp?m=180
St. Mary s Catholic Church,Fairfax Station,Fairfax County,,1961,Porto Caravan Order of Alhambra,http://www.hmdb.org/m.asp?m=184
