Feature Name,Honorees,City,County,State,Side,Symbol Type,Symbol Category,Sponsors,Year Dedicated,Year Removed,Tracking Status,,
Confederate Oak,No specific honoree,Port Orange,Volusia,FL,South,Other,Parks/Trails,Uknown,,,Live,,
Confederate Monument,No specific honoree,Quincy,Gadsden,FL,South,Monument,Courthouse Grounds,Memorial Association of Gadsden County,1884,,Live,,
Confederate Monument,No specific honoree,St. Augustine,St. Johns,FL,South,Monument,Monument,Ladies Memorial Association,1872,,Live,,
Gen. William Loring Monument,William Loring,St. Augustine,St. Johns,FL,South,Monument,Monument,United Daughters of the Confederacy,1920,,Live,,
Robert Lee Road,Robert E. Lee,St. Cloud,Osceola,FL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Jackson Memorial Highway Marker,Thomas Jonathan Stonewall Jackson,St. Petersburg,Pinellas,FL,South,Marker,Monument,United Daughters of the Confederacy,1940,,Live,,
Bradford County,Richard Bradford,Starke,Bradford,FL,South,County/Municipality,County/Municipality,Uknown,1861,,Live,,
A.H. Stephens State Park,Alexander Stephens,Crawfordville,Taliaferro,GA,South,Park,Parks/Trails,Uknown,,,Live,,
Confederate Monument,No specific honoree,Crawfordville,Taliaferro,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1898,,Live,,
Jefferson Davis Highway Marker,Jefferson Davis,Crawfordville,Taliaferro,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,,,Live,,
Confederate Veterans Monument,No specific honoree,Cusseta,Chattahoochee,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,,,Live,,
Randolph County Confederate Monument,No specific honoree,Cuthbert,Randolph,GA,South,Monument,Monument,United Daughters of the Confederacy,1910,,Live,,
Confederate Avenue,No specific honoree,Dallas,Paulding,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
The War Between the States Sesquicentennial Monument,No specific honoree,Dallas,Paulding,GA,South,Monument,Monument,Sons of Confederate Veterans,2012,,Live,,
Joseph E. Johnston Statue,Joseph Eggleston Johnston,Dalton,Whitfield,GA,South,Monument,Monument,United Daughters of the Confederacy,1912,,Live,,
